"STOCK","DOJI_DATE","HINT"
"Adidas","2020-07-31","-"
"Carl Zeiss Meditec","2020-07-31","-"
"Bechtle","2020-07-31","-"
"Deutsche Boerse","2020-07-24","-"
"Deutsche Post","2020-07-31","buy now"
"Deutsche Telekom","2020-07-24","-"
"Deutsche Wohnen","2020-07-24","-"
"Fresenius SE","2020-07-24","-"
"Fuchs Petrolub","2020-07-31","-"
"Henkel","2020-07-31","-"
"LEG Immobilien","2020-07-31","sell now"
"LANXESS","2020-07-24","-"
"Linde","2020-07-31","-"
"Aurubis","2020-07-31","-"
"Osram Licht","2020-07-24","buy now"
"RTL Group","2020-07-24","-"
"RWE","2020-07-31","buy now"
"Siemens","2020-07-31","-"
"Symrise","2020-07-31","-"
"TAG Immobilien","2020-07-31","-"
"United Internet","2020-07-31","-"
"Vonovia","2020-07-31"
"LAST UPDATE","2020-08-02","-"